Tahun,Provinsi,Nilai Investasi
2013,Sumatera Utara,12791300000
2013,Sumatera Utara,0
2013,Sumatera Utara,129094200000
2013,Sumatera Utara,1858450900000
2013,Sumatera Utara,933800000
2013,Sumatera Utara,1620700000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,12486000000
2013,Sumatera Utara,0
2013,Sumatera Utara,3060800000
2013,Sumatera Utara,81100000
2013,Sumatera Utara,128188800000
2013,Sumatera Utara,1200000
2013,Sumatera Utara,0
2013,Sumatera Utara,2885800000
2013,Sumatera Utara,81000000
2013,Sumatera Utara,5639300000
2013,Sumatera Utara,4356400000
2013,Sumatera Utara,739300000
2013,Sumatera Utara,0
2013,Sumatera Utara,5531700000
2013,Sumatera Utara,1100000
2013,Sumatera Utara,0
2013,Sumatera Utara,217400000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,1400000
2013,Sumatera Utara,0
2013,Sumatera Utara,1000000000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,6000000000
2013,Sumatera Utara,0
2013,Sumatera Utara,421000000
2013,Sumatera Utara,0
2013,Sumatera Utara,337548000000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,11649500000
2013,Sumatera Utara,42856700000
2013,Sumatera Utara,0
2013,Sumatera Utara,5677100000
2013,Sumatera Utara,7918900000
2013,Sumatera Utara,6030100000
2013,Sumatera Utara,1792400000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,2217500000
2013,Sumatera Utara,484404500000
2013,Sumatera Utara,59464700000
2013,Sumatera Utara,407400000
2013,Sumatera Utara,6962200000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,5043700000
2013,Sumatera Utara,2781300000
2013,Sumatera Utara,89100000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,22621300000
2013,Sumatera Utara,32377200000
2013,Sumatera Utara,15600000
2013,Sumatera Utara,53900000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,163700000
2013,Sumatera Utara,162100000
2013,Sumatera Utara,265493400000
2013,Sumatera Utara,60630800000
2013,Sumatera Utara,0
2013,Sumatera Utara,2147400000
2013,Sumatera Utara,93544200000
2013,Sumatera Utara,100000000
2013,Sumatera Utara,17400000
2013,Sumatera Utara,51000000
2013,Sumatera Utara,6913600000
2013,Sumatera Utara,12722400000
2013,Sumatera Utara,8295600000
2013,Sumatera Utara,167217000000
2013,Sumatera Utara,26759600000
2013,Sumatera Utara,0
2013,Sumatera Utara,106978900000
2013,Sumatera Utara,0
2013,Sumatera Utara,179484500000
2013,Sumatera Utara,11777600000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,1305000000
2013,Sumatera Utara,146300000
2013,Sumatera Utara,1390700000
2013,Sumatera Utara,253700000
2013,Sumatera Utara,56880600000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,64174100000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,4725400000
2013,Sumatera Utara,0
2013,Sumatera Utara,143282800000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,132631700000
2013,Sumatera Utara,0
2013,Sumatera Utara,650286000000
2013,Sumatera Utara,164368500000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,4502000000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,1541500000
2013,Sumatera Utara,492500000
2013,Sumatera Utara,1324700000
2013,Sumatera Utara,1240600000
2013,Sumatera Utara,668200000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,283800000
2013,Sumatera Utara,0
2013,Sumatera Utara,45957900000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,42966000000
2013,Sumatera Utara,98900000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,22984500000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,509300000
