tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun_awal,tahun_akhir,n_nij,c_cij,s_sij,d_dij,keunggulan_kompetitif,spesialisasi
provinsi,18,,14,2021,2022,402084758391.61,-197302381265.78,-307192377125.83,-102410000000,0,0
provinsi,18,,15,2021,2022,369904065916.93,-329003562871.24,159759496954.32,200660000000,1,0
provinsi,18,,16,2021,2022,136955074582.68,-60800081333.78,-78994993248.9,-2840000000,0,0
provinsi,18,,17,2021,2022,106590535382.94,97355350083.85,344304114533.22,548250000000,1,1
provinsi,18,,1,2022,2023,3503272006161.7,-2598139916516.4,-524802089645.38,380330000000,0,0
provinsi,18,,2,2022,2023,622607336455.21,131535016844.33,-389332353299.54,364810000000,0,1
provinsi,18,,3,2022,2023,2354606260933.1,-192960527574.68,-1493605733358.4,668040000000,0,0
provinsi,18,,4,2022,2023,21670783513.5,-630459974.21,-15210323539.28,5830000000,0,0
provinsi,18,,5,2022,2023,14303657151.49,-445762404.37,-12407894747.12,1450000000,0,0
provinsi,18,,6,2022,2023,1328951866128.6,-36911857407.32,553509991278.76,1845550000000,1,0
provinsi,18,,7,2022,2023,1783760858680.4,-71923225887.74,1737922367207.4,3449760000000,1,0
provinsi,18,,8,2022,2023,758167616533.44,1336461076306.5,386101307160.09,2480730000000,1,1
provinsi,18,,9,2022,2023,194995609324.58,190961388599.27,130243002076.16,516200000000,1,1
provinsi,18,,10,2022,2023,701624150979.44,352747561361.58,-12761712341.02,1041610000000,0,1
provinsi,18,,11,2022,2023,253765840245.31,-14032818066.11,-79523022179.21,160210000000,0,0
provinsi,18,,12,2022,2023,388151584982.58,-278279998270.61,-44191586711.97,65680000000,0,0
provinsi,18,,13,2022,2023,19787180580.71,12493465280.51,-9600645861.22,22680000000,0,1
provinsi,18,,14,2022,2023,405576049247.01,-284225415330.21,-112090633916.8,9260000000,0,0
provinsi,18,,15,2022,2023,388018666396.23,-251922085552.6,35373419156.37,171470000000,1,0
provinsi,18,,16,2022,2023,139763640848.81,-10749557807.75,-21924083041.06,107090000000,0,0
provinsi,18,,17,2022,2023,136596337500.34,147649263402.94,131424399096.73,415670000000,1,1
provinsi,18,,1,2023,2024,3564702986002,-3093003649402.6,-1829919336599.4,-1358220000000,0,0
provinsi,18,,2,2023,2024,648726119026.22,-27798993576.81,-4077125449.42,616850000000,0,0
provinsi,18,,3,2023,2024,2416987934518.6,-324247015136.21,2143569080617.6,4236310000000,1,0
provinsi,18,,4,2023,2024,22228635456.72,-1476507806.59,-48702127650.13,-27950000000,0,0
provinsi,18,,5,2023,2024,14549215241.76,-10084136621.45,-5355078620.3,-890000000,0,0
provinsi,18,,6,2023,2024,1439267065705.1,535465972236.86,-1197473037941.9,777260000000,0,1
provinsi,18,,7,2023,2024,1981573247253.6,-88070422916.17,895857175662.58,2789360000000,1,0
provinsi,18,,8,2023,2024,894129497522.58,624422955064.58,200977547412.85,1719530000000,1,1
provinsi,18,,9,2023,2024,223733246327.99,146310592009.55,-127773838337.54,242270000000,0,1
provinsi,18,,10,2023,2024,763304705273.13,367009505941.58,156685788785.3,1287000000000,1,1
provinsi,18,,11,2023,2024,265000604229.07,-19634102881.32,3783498652.26,249150000000,1,0
provinsi,18,,12,2023,2024,396161930511.25,-202666804479.15,330064873967.91,523560000000,1,0
provinsi,18,,13,2023,2024,21184254765.48,13535740615.34,2500004619.17,37220000000,1,1
provinsi,18,,14,2023,2024,410909588313.34,105690577573.7,50429834112.96,567030000000,1,1
provinsi,18,,15,2023,2024,401438047656.6,-106331089440.94,-178096958215.66,117010000000,0,0
provinsi,18,,16,2023,2024,146915517483.08,86506057874.35,-23881575357.43,209540000000,0,1
provinsi,18,,17,2023,2024,159492581919.05,146052706456.03,26084711624.92,331630000000,1,1
provinsi,18,,1,2024,2025,3528315627347,111664643573.12,401699729079.91,4041680000000,1,1
provinsi,18,,2,2024,2025,686713001974.33,-774605980540.8,-68187021433.53,-156080000000,0,0
provinsi,18,,3,2024,2025,2658578767776.5,69269862754.14,528561369469.36,3256410000000,1,1
provinsi,18,,4,2024,2025,20995975201.16,-8385640491.35,-25000334709.82,-12390000000,0,0
provinsi,18,,5,2024,2025,14640958633.65,-11971536171.89,4550577538.24,7220000000,1,0
provinsi,18,,6,2024,2025,1493017410044.4,-389837883894.18,500800473849.75,1603980000000,1,0
provinsi,18,,7,2024,2025,2144338716048.1,136778450500.28,-37447166548.37,2243670000000,0,1
provinsi,18,,8,2024,2025,991369160986.03,694477779564.6,-280916940550.63,1404930000000,0,1
provinsi,18,,9,2024,2025,238358812968.06,103702761671.85,19438425360.09,361500000000,1,1
provinsi,18,,10,2024,2025,836975146083.73,516385001784.84,-619010147868.57,734350000000,0,1
provinsi,18,,11,2024,2025,280371931270.24,-65492599451.26,108510668181.02,323390000000,1,0
provinsi,18,,12,2024,2025,426942083871.45,-130908068981.03,31275985109.58,327310000000,1,0
provinsi,18,,13,2024,2025,23306374026.38,17752561033.77,-21828935060.15,19230000000,0,1
provinsi,18,,14,2024,2025,444073626624.17,-112089135147.63,-95014491476.54,236970000000,0,0
provinsi,18,,15,2024,2025,411278354271.82,-13637339183.7,-250551015088.12,147090000000,0,0
provinsi,18,,16,2024,2025,159124266083.68,13295785059.21,-102940051142.89,69480000000,0,1
provinsi,18,,17,2024,2025,178123746925.71,164305505871.36,-87729252797.06,254700000000,0,1
provinsi,11,,1,2021,2022,1868499650774,-1016888748450.1,385399097676.11,1237010000000,1,0
provinsi,11,,2,2021,2022,514901963651.5,-58547417086.27,-8884546565.23,447470000000,0,0
provinsi,11,,3,2021,2022,307330634641.13,-3413923802.38,-43646710838.75,260270000000,0,0
provinsi,11,,4,2021,2022,10731185150.25,3603697834.5,-9054882984.75,5280000000,0,1
provinsi,11,,5,2021,2022,2541921963.12,-880241804.24,2918319841.12,4580000000,1,0
provinsi,11,,6,2021,2022,684561154888.89,-405847505189.66,-591283649699.23,-312570000000,0,0
provinsi,11,,7,2021,2022,991990240769.93,116791658384,167408100846.07,1276190000000,1,1
provinsi,11,,8,2021,2022,417260101773.6,1258567745013.4,-1065427846787,610400000000,0,1
provinsi,11,,9,2021,2022,76688073861.97,108468346539.04,317083579598.99,502240000000,1,1
provinsi,11,,10,2021,2022,276073602794.15,155066322241.68,196490074964.17,627630000000,1,1
provinsi,11,,11,2021,2022,110637425546.1,-67386963622.75,-175870461923.34,-132620000000,0,0
provinsi,11,,12,2021,2022,280346089768.36,-182887630903.54,128251541135.17,225710000000,1,0
