tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,nilai_lq,kategori_lq,shift_share_net,klasifikasi_sektor
provinsi,16,,16,2025,0.4791,"Non Basis",5350761176.08,"Potensial / Cepat Berkembang"
provinsi,16,,17,2025,0.3414,"Non Basis",-171812874214.54,"Relatif Tertinggal"
provinsi,18,,1,2022,2.099,Basis,-184813619898.83,"Maju tapi Tertekan"
provinsi,18,,2,2022,0.6242,"Non Basis",-1038847015346.7,"Relatif Tertinggal"
provinsi,18,,3,2022,0.8452,"Non Basis",-2096586364336,"Relatif Tertinggal"
provinsi,18,,4,2022,0.1523,"Non Basis",-1397336600.47,"Relatif Tertinggal"
provinsi,18,,5,2022,1.2017,Basis,1314790156.56,"Maju dan Tumbuh Cepat"
provinsi,18,,6,2022,1.0165,Basis,466595417507.58,"Maju dan Tumbuh Cepat"
provinsi,18,,7,2022,1.003,Basis,3023425003907.4,"Maju dan Tumbuh Cepat"
provinsi,18,,8,2022,1.3397,Basis,55402364738.05,"Maju dan Tumbuh Cepat"
provinsi,18,,9,2022,0.4823,"Non Basis",22915456661.83,"Potensial / Cepat Berkembang"
provinsi,18,,10,2022,0.8045,"Non Basis",-1000903931262.1,"Relatif Tertinggal"
provinsi,18,,11,2022,0.4609,"Non Basis",-290987586188.12,"Relatif Tertinggal"
provinsi,18,,12,2022,0.985,"Non Basis",125944409158.11,"Potensial / Cepat Berkembang"
provinsi,18,,13,2022,0.0794,"Non Basis",29033759045.23,"Potensial / Cepat Berkembang"
provinsi,18,,14,2022,0.9344,"Non Basis",-307192377125.83,"Relatif Tertinggal"
provinsi,18,,15,2022,0.9468,"Non Basis",159759496954.32,"Potensial / Cepat Berkembang"
provinsi,18,,16,2022,0.7449,"Non Basis",-78994993248.9,"Relatif Tertinggal"
provinsi,18,,17,2022,0.5347,"Non Basis",344304114533.22,"Potensial / Cepat Berkembang"
provinsi,18,,1,2023,2.0934,Basis,-524802089645.38,"Maju tapi Tertekan"
provinsi,18,,2,2023,0.6085,"Non Basis",-389332353299.54,"Relatif Tertinggal"
provinsi,18,,3,2023,0.8233,"Non Basis",-1493605733358.4,"Relatif Tertinggal"
provinsi,18,,4,2023,0.1478,"Non Basis",-15210323539.28,"Relatif Tertinggal"
provinsi,18,,5,2023,1.1571,Basis,-12407894747.12,"Maju tapi Tertekan"
provinsi,18,,6,2023,1.0419,Basis,553509991278.76,"Maju dan Tumbuh Cepat"
provinsi,18,,7,2023,1.0552,Basis,1737922367207.4,"Maju dan Tumbuh Cepat"
