provinsi_id,sektor_id,tahun,nilai
13,6,2024,18384650000000
13,7,2024,33399700000000
13,8,2024,21248290000000
13,9,2024,2312370000000
13,10,2024,18050930000000
13,11,2024,5976830000000
13,12,2024,4132190000000
13,13,2024,895040000000
13,14,2024,11202190000000
13,15,2024,8143870000000
13,16,2024,3392380000000
13,17,2024,3870090000000
13,1,2025,44227270000000
13,2,2025,7731130000000
13,3,2025,18856050000000
13,4,2025,198500000000
13,5,2025,195540000000
13,6,2025,18127440000000
13,7,2025,34639230000000
13,8,2025,21245460000000
13,9,2025,2386800000000
13,10,2025,19003750000000
13,11,2025,6427920000000
13,12,2025,4370860000000
13,13,2025,941760000000
13,14,2025,11422250000000
13,15,2025,8498200000000
13,16,2025,3666680000000
13,17,2025,4199040000000
14,1,2021,140717740000000
14,2,2021,77687800000000
14,3,2021,162436920000000
14,4,2021,385540000000
14,5,2021,70260000000
14,6,2021,42630310000000
14,7,2021,46853900000000
14,8,2021,3347980000000
14,9,2021,2162170000000
14,10,2021,5704890000000
14,11,2021,5028140000000
14,12,2021,4840830000000
14,13,2021,22940000000
14,14,2021,8374820000000
14,15,2021,2672260000000
14,16,2021,1318960000000
14,17,2021,2216450000000
14,1,2022,144691040000000
14,2,2022,78744080000000
14,3,2022,170116900000000
14,4,2022,440830000000
14,5,2022,73420000000
14,6,2022,44659760000000
14,7,2022,52427970000000
14,8,2022,3969950000000
14,9,2022,2397740000000
14,10,2022,6094470000000
14,11,2022,5277310000000
14,12,2022,5106220000000
14,13,2022,25870000000
14,14,2022,8875530000000
14,15,2022,2777140000000
14,16,2022,1351710000000
14,17,2022,2503050000000
14,1,2023,149361110000000
14,2,2023,80730220000000
14,3,2023,176290050000000
14,4,2023,447200000000
14,5,2023,77470000000
14,6,2023,48756790000000
14,7,2023,55636270000000
14,8,2023,4300020000000
14,9,2023,2498890000000
14,10,2023,6561680000000
14,11,2023,5491870000000
14,12,2023,5307410000000
14,13,2023,27580000000
14,14,2023,9354720000000
14,15,2023,2881480000000
14,16,2023,1445970000000
14,17,2023,2659740000000
14,1,2024,152698390000000
14,2,2024,81020060000000
14,3,2024,182856220000000
14,4,2024,478450000000
14,5,2024,80340000000
14,6,2024,51937540000000
14,7,2024,59002870000000
14,8,2024,4581540000000
14,9,2024,2766170000000
14,10,2024,7057790000000
14,11,2024,5563130000000
14,12,2024,5511750000000
14,13,2024,29880000000
14,14,2024,10238710000000
14,15,2024,3008750000000
14,16,2024,1541730000000
14,17,2024,2860250000000
14,1,2025,160178550000000
14,2,2025,81117360000000
14,3,2025,194543850000000
14,4,2025,502180000000
14,5,2025,85930000000
14,6,2025,54551530000000
14,7,2025,62099880000000
14,8,2025,4746680000000
14,9,2025,2877750000000
14,10,2025,7468290000000
14,11,2025,5812580000000
14,12,2025,5724770000000
14,13,2025,32700000000
14,14,2025,10731910000000
14,15,2025,3272950000000
14,16,2025,1676980000000
14,17,2025,3186560000000
15,1,2021,41209130000000
15,2,2021,35730220000000
15,3,2021,15727350000000
15,4,2021,86890000000
15,5,2021,213080000000
15,6,2021,12025010000000
15,7,2021,15049580000000
15,8,2021,4437480000000
15,9,2021,1661430000000
15,10,2021,6335000000000
15,11,2021,3674270000000
15,12,2021,2281920000000
15,13,2021,1540300000000
15,14,2021,4929300000000
15,15,2021,5216530000000
15,16,2021,2211800000000
15,17,2021,1521330000000
15,1,2022,43268380000000
